state,population,percent
Alabama,185602,3.7
Alaska,214642,3.0
Arizona,1957668,25.9
Arkansas,138164,4.7
California,11423146,30.7
Colorado,757181,15.1
Connecticut,450658,1.4
Delaware,30283,3.0
District of Columbia,8507,1.4
Florida,629718,3.3
Georgia,519502,5.4
Hawaii,35415,2.6
Idaho,148923,9.5
Illinois,1602403,12.5
Indiana,295373,4.6
Iowa,117090,3.8
Kansas,247297,8.7
Kentucky,82110,1.9
Louisiana,78643,1.7
Maine,5134,0.4
Maryland,88004,1.5
Massachusetts,38379,0.6
Michigan,317903,3.2
Minnesota,176007,3.3
Mississippi,52459,1.8
Missouri,147254,2.5
Montana,20048,2.0
Nebraska,128060,7.0
Nevada,540978,20.0
New Hampshire,7822,0.6
New Jersey,217715,2.5
New Mexico,590890,28.7
New York,457288,2.4
North Carolina,486960,5.1
North Dakota,9223,1.4
Ohio,172029,1.5
Oklahoma,267016,7.1
Oregon,369817,9.7
Pennsylvania,129568,1.0
Rhode Island,9090,0.9
South Carolina,138350,3.0
South Dakota,13839,1.7
Tennessee,186615,2.9
Texas,7951193,31.6
Utah,258905,9.4
Vermont,2534,0.4
Virginia,155067,1.9
Washington,601768,8.9
West Virginia,9704,0.5
Wisconsin,244248,4.3
Wyoming,37719,6.7
