Date,Samsung,Apple,Huawei,Xiaomi,Oppo,Mobicel,Motorola,LG,Others,Realme,Google,Nokia,Lenovo,OnePlus,Sony,Asus
2019-10,31.49,22.09,10.02,7.79,4.1,3.15,2.41,2.4,9.51,0.54,2.35,0.95,0.96,0.7,0.84,0.74
2019-11,31.36,22.9,10.18,8.16,4.42,3.41,2.4,2.4,9.1,0.78,0.66,0.97,0.97,0.73,0.83,0.75
2019-12,31.37,24.79,9.95,7.73,4.23,3.19,2.5,2.54,8.13,0.84,0.75,0.9,0.87,0.74,0.77,0.7
2020-01,31.29,24.76,10.61,8.1,4.25,3.02,2.42,2.4,7.55,0.88,0.69,0.88,0.86,0.79,0.8,0.69
2020-02,30.91,25.89,10.98,7.8,4.31,2.89,2.36,2.34,7.06,0.89,0.7,0.81,0.77,0.78,0.8,0.69
2020-03,30.8,27.03,10.7,7.7,4.3,2.87,2.35,2.28,6.63,0.93,0.73,0.72,0.74,0.78,0.76,0.66
2020-04,30.41,28.79,10.28,7.6,4.2,2.75,2.51,2.28,5.84,0.9,0.75,0.69,0.71,0.8,0.76,0.7
2020-05,30.18,26.72,10.39,8.36,4.7,3.12,2.46,2.19,6.31,1.04,0.7,0.73,0.77,0.81,0.78,0.76
2020-06,31.06,25.26,10.69,8.55,4.65,3.18,2.57,2.11,6.39,1.04,0.68,0.74,0.75,0.77,0.78,0.75
2020-07,30.95,24.82,10.75,8.94,4.69,3.46,2.45,2.03,6.41,1.13,0.65,0.76,0.74,0.76,0.75,0.72
2020-08,31.04,25.15,10.73,8.9,4.69,3.38,2.39,1.96,6.31,1.18,0.63,0.74,0.72,0.75,0.73,0.7
2020-09,30.57,24.98,10.58,9.49,4.94,3.5,2.27,1.88,6.12,1.45,0.63,0.74,0.67,0.81,0.69,0.67
2020-10,30.25,26.53,10.44,9.67,4.83,2.54,2.21,1.79,6.04,1.55,0.63,0.69,0.65,0.85,0.67,0.64
