rank,prev_rank,name,league,off,def,spi
1,2,Manchester City,Barclays Premier League,2.95,0.21,93.8
2,1,Bayern Munich,German Bundesliga,3.37,0.48,92.67
3,3,Barcelona,Spanish Primera Division,3.1,0.46,91.32
4,4,Liverpool,Barclays Premier League,2.7,0.49,87.74
5,5,Borussia Dortmund,German Bundesliga,2.6,0.46,87.26
6,7,Atletico Madrid,Spanish Primera Division,2.27,0.3,87.17
7,8,Chelsea,Barclays Premier League,2.43,0.41,86.62
8,6,Paris Saint-Germain,French Ligue 1,2.81,0.63,86.34
9,9,Real Madrid,Spanish Primera Division,2.57,0.53,85.78
10,12,Manchester United,Barclays Premier League,2.44,0.51,84.83
11,14,Tottenham Hotspur,Barclays Premier League,2.38,0.52,83.96
12,10,RB Leipzig,German Bundesliga,2.4,0.53,83.92
13,11,Real Sociedad,Spanish Primera Division,2.13,0.39,83.79
14,13,Internazionale,Italy Serie A,2.54,0.64,83.3
15,16,Napoli,Italy Serie A,2.24,0.52,82.23
16,15,Juventus,Italy Serie A,2.37,0.63,81.58
17,19,Ajax,Dutch Eredivisie,2.78,0.88,81.49
18,17,AC Milan,Italy Serie A,2.41,0.67,81.1
19,18,Sevilla FC,Spanish Primera Division,2.1,0.5,80.86
20,27,FC Salzburg,Austrian T-Mobile Bundesliga,2.98,1.1,79.99
21,20,Villarreal,Spanish Primera Division,2.19,0.6,79.83
22,23,Bayer Leverkusen,German Bundesliga,2.18,0.6,79.76
23,25,Borussia Monchengladbach,German Bundesliga,2.44,0.76,79.73
24,26,Atalanta,Italy Serie A,2.37,0.75,79.07
25,24,Arsenal,Barclays Premier League,2.07,0.61,77.99
26,21,Leicester City,Barclays Premier League,2.19,0.69,77.83
27,22,AS Roma,Italy Serie A,2.26,0.74,77.72
28,29,Wolverhampton,Barclays Premier League,1.87,0.52,76.84
29,30,Lyon,French Ligue 1,2.07,0.66,76.65
30,28,Lille,French Ligue 1,1.95,0.61,76.14
31,33,FC Porto,Portuguese Liga,2.13,0.76,75.33
32,40,AS Monaco,French Ligue 1,2.2,0.84,74.64
33,32,West Ham United,Barclays Premier League,2.03,0.74,74.21
34,41,Aston Villa,Barclays Premier League,2.12,0.82,73.86
35,31,Zenit St Petersburg,Russian Premier Liga,2.02,0.76,73.71
36,37,Getafe,Spanish Primera Division,1.69,0.53,73.66
37,46,Brighton and Hove Albion,Barclays Premier League,1.92,0.69,73.6
38,38,Benfica,Portuguese Liga,2.23,0.91,73.55
39,48,Athletic Bilbao,Spanish Primera Division,1.82,0.64,73.04
40,35,Southampton,Barclays Premier League,1.99,0.76,73
41,39,Eintracht Frankfurt,German Bundesliga,2.17,0.9,72.88
42,34,Olympiacos,Greek Super League,1.96,0.75,72.87
43,43,VfL Wolfsburg,German Bundesliga,2.01,0.78,72.86
44,42,TSG Hoffenheim,German Bundesliga,2.27,0.98,72.75
45,36,Everton,Barclays Premier League,2.06,0.83,72.51
46,49,Celta Vigo,Spanish Primera Division,1.96,0.8,71.67
47,44,Shakhtar Donetsk,UEFA Champions League,2.28,1.05,71.36
48,47,Lazio,Italy Serie A,2.08,0.94,70.45
49,57,Young Boys,Swiss Raiffeisen Super League,1.97,0.87,70.22
50,51,Flamengo,Brasileiro Série A,2.06,0.96,69.71
51,52,1. FC Union Berlin,German Bundesliga,1.88,0.84,69.38
52,53,Hertha Berlin,German Bundesliga,2,0.93,69.37
53,60,Leeds United,Barclays Premier League,1.96,0.91,69.07
54,50,Osasuna,Spanish Primera Division,1.73,0.75,68.87
55,54,Rangers,Scottish Premiership,1.9,0.89,68.42
56,69,Eibar,Spanish Primera Division,1.62,0.69,68.21
57,59,Levante,Spanish Primera Division,1.84,0.87,67.8
58,55,Club Brugge,Belgian Jupiler League,1.89,0.91,67.7
59,65,Stade Rennes,French Ligue 1,1.74,0.8,67.63
60,56,CSKA Moscow,Russian Premier Liga,1.68,0.75,67.6
61,61,Sporting CP,Portuguese Liga,1.77,0.83,67.41
62,45,Real Betis,Spanish Primera Division,1.89,0.94,67.02
63,70,Cadiz,Spanish Primera Division,1.59,0.73,66.5
64,63,Valencia,Spanish Primera Division,1.85,0.94,66.35
65,66,Sassuolo,Italy Serie A,1.96,1.03,66.22
66,62,Crystal Palace,Barclays Premier League,1.74,0.86,66.16
67,64,Burnley,Barclays Premier League,1.67,0.81,65.97
68,74,PSV,Dutch Eredivisie,1.99,1.07,65.85
69,75,Newcastle,Barclays Premier League,1.68,0.83,65.84
70,68,Fiorentina,Italy Serie A,1.76,0.89,65.61
71,73,Sheffield United,Barclays Premier League,1.66,0.82,65.58
72,72,River Plate,Argentina Primera Division,1.74,0.88,65.48
73,58,Granada,Spanish Primera Division,1.72,0.88,65.19
74,76,Slavia Prague,UEFA Europa League,1.95,1.07,65.17
75,67,Dynamo Kiev,UEFA Champions League,1.95,1.07,65.13
76,79,VfB Stuttgart,German Bundesliga,1.86,1,65.07
77,80,Marseille,French Ligue 1,1.63,0.82,65.03
78,81,Dinamo Zagreb,UEFA Europa League,1.92,1.05,65.02
79,83,FC Cologne,German Bundesliga,1.85,1,64.92
